2026-09-03T22:42:55 | residual_trend_diagnostic.py | input: residuals_full_*.csv (40,783 rows/arm), grid, training summary | output: 5 CSVs + 4 figures + report in objective2_modeling/residual_diagnostic/ | notes: read-only, nothing retrained, no threshold re-fitted; detrended series diagnostic only
2026-09-03T22:43:10 | residual_trend_diagnostic.py | input: residuals_full_*.csv (40,783 rows/arm), grid, training summary | output: 5 CSVs + 4 figures + report in objective2_modeling/residual_diagnostic/ | notes: read-only, nothing retrained, no threshold re-fitted; detrended series diagnostic only
2026-09-04T00:23:21 | objective2_expected_power_arms.py | input: objective2_grid.csv | output: 4 arms x 3 slices, screening + residual CSVs in objective2_modeling/ | notes: exogenous-only (no lagged power) [1]; proxy-window screening only, no label-presuming metrics [2]; 3 slices [3]; contiguous-grid sequences with current-time exogenous permitted [4]
2026-09-04T16:30:54 | plot_objective2_results.py | input: 13 permitted files under objective2_modeling/ | output: 5 figures (PNG+PDF) + summary + manifest = 12 files in objective2_figures/ | notes: consolidation only, nothing trained or modified; terminology assertions passed on 20 strings
2026-09-04T17:58:06 | hk_data_audit.py | input: HK raw dataset, TTL, README, repository materials, HK scripts (all read-only) | output: 5 files in outputs/hk_data_audit/ | notes: power(W)=AC active power (CONFIRMED); 2 of 8 no-sensor LSTM features contaminated plus row-existence and sequence-retention stages; alpha and pdc0 fitted across the test period (leakage); same-time scope recorded; nothing modified, nothing trained
2026-09-06T16:18:03 | objective2_prepare.py | input: raw SQ1.csv + raw meteorological CSVs | output: objective2_grid.csv (90,624 rows), estimator metrics | notes: continuous 15-min grid, TTL pvlib params, sensor-free eligibility 41,083 rows; estimator excludes power [C2]; trained <= 2022-12-31 only
2026-09-06T16:18:24 | hk_design_checks.py | input: raw SQ1.csv + raw meteorological CSVs (read-only) | output: 5 files in outputs/objective2_design/ | notes: design computations only; no training, nothing modified
2026-09-06T16:18:32 | hk_data_audit.py | input: HK raw dataset, TTL, README, repository materials, HK scripts (all read-only) | output: 5 files in outputs/hk_data_audit/ | notes: power(W)=AC active power (CONFIRMED); 2 of 8 no-sensor LSTM features contaminated plus row-existence and sequence-retention stages; alpha and pdc0 fitted across the test period (leakage); same-time scope recorded; nothing modified, nothing trained
2026-09-06T17:22:36 | objective2_expected_power_arms.py | input: objective2_grid.csv | output: 4 arms x 3 slices, screening + residual CSVs in objective2_modeling/ | notes: exogenous-only (no lagged power) [1]; proxy-window screening only, no label-presuming metrics [2]; 3 slices [3]; contiguous-grid sequences with current-time exogenous permitted [4]
2026-09-06T18:13:01 | objective2_expected_power_arms.py | input: objective2_grid.csv | output: 4 arms x 3 slices, screening + residual CSVs in objective2_modeling/ | notes: exogenous-only (no lagged power) [1]; proxy-window screening only, no label-presuming metrics [2]; 3 slices [3]; contiguous-grid sequences with current-time exogenous permitted [4]
2026-09-06T22:44:52 | residual_trend_diagnostic.py | input: residuals_full_*.csv (40,783 rows/arm), grid, training summary | output: 5 CSVs + 4 figures + report in objective2_modeling/residual_diagnostic/ | notes: read-only, nothing retrained, no threshold re-fitted; detrended series diagnostic only
2026-09-06T22:45:07 | plot_objective2_results.py | input: 13 permitted files under objective2_modeling/ | output: 5 figures (PNG+PDF) + summary + manifest = 12 files in objective2_figures/ | notes: consolidation only, nothing trained or modified; terminology assertions passed on 20 strings
2026-09-07T19:33:41 | hk_data_audit.py | input: HK raw dataset, TTL, README, repository materials, HK scripts (all read-only) | output: 5 files in outputs/hk_data_audit/ | notes: power(W)=AC active power (CONFIRMED); 2 of 8 no-sensor LSTM features contaminated plus row-existence and sequence-retention stages; alpha and pdc0 fitted across the test period (leakage); same-time scope recorded; nothing modified, nothing trained
